"";"geneID";"cluster"
"1158";"PLSCR1";70
"1159";"HACD1";70
"1160";"NLGN1";70
"1161";"GPM6A";81
"1162";"IGFBP4";81
"1163";"INPP4A";81
"1164";"MAP1LC3B";81
"1165";"CHST15";81
"1166";"GPM6A";81
"1167";"SMOC1";36
"1168";"ISLR";36
"1169";"NAV1";36
"1170";"PLOD1";36
"1171";"UGDH";36
"1172";"C11orf24";36
"1173";"CTSF";36
"1174";"HTR2B";36
"1175";"OLFML3";36
"1176";"SMOC1";36
"1177";"PLAT";71
"1178";"MYL6";71
"1179";"TMSB4X";71
"1180";"ADAMTS5";71
"1181";"NID1";71
"1182";"PLAT";71
"1183";"S1PR1";82
"1184";"PDCD4";82
"1185";"SNRK";82
"1186";"SOX17";82
"1187";"RASIP1";82
"1188";"S1PR1";82
"1189";"PIK3R3";68
"1190";"PIK3C2B";68
"1191";"SOX7";68
"1192";"ST6GAL1";68
"1193";"TCN2";68
"1194";"PIK3R3";68
"1195";"RGS4";63
"1196";"PRKG1";63
"1197";"TPM1";63
"1198";"GULP1";63
"1199";"IRAG1";63
"1200";"RAB23";63
"1201";"RGS4";63
