symbol	all	control	tgf	tnf	mix
SMAD7	4	4	9	6	2
LIPG	4	1	3	4	7
NOL4	9	7	4	7	9
RBBP8	4	5	3	4	7
CSTF2	4	4	5	4	6
PSMD10	7	4	3	4	4
ATG4A	7	5	5	4	4
TBL1X	7	1	9	4	4
POLA1	4	1	4	4	4
MID1	9	9	8	6	6
MOSPD1	7	1	9	6	7
WDR13	9	7	6	6	9
SUV39H1	5	8	5	5	4
SRPX	5	5	5	5	4
STAG2	6	6	1	7	9
ABCD1	9	7	4	6	2
PLP2	4	4	3	5	6
BMX	7	5	2	4	4
NAA10	7	1	5	5	4
RBBP7	4	4	3	4	4
PIM2	9	6	6	7	9
SLC35A2	4	1	4	6	6
PGK1	4	4	3	4	6
SMS	4	4	3	5	6
UBL4A	7	1	9	4	6
CD99L2	7	1	3	4	4
EEA1	4	4	2	8	4
CDK16	7	1	9	4	7
USP11	9	3	6	6	6
HTATSF1	4	4	4	4	6
TIMP1	5	5	2	5	5
KLHL4	7	5	9	6	4
GABRE	7	7	5	7	4
MAGED2	3	9	8	6	2
RBM3	7	4	3	5	4
SRPX2	4	2	9	6	2
ARMCX3	4	1	3	8	6
NALCN	7	1	2	8	4
FGF14	9	9	4	8	7
TNFSF13B	6	6	1	7	9
CDADC1	4	4	6	6	6
KLF5	7	5	2	4	4
STK24	4	4	8	6	6
PARP4	4	4	3	8	6
MRPS31	4	4	3	6	6
FLT1	4	2	3	5	2
RGCC	7	5	8	5	9
INTS6	9	7	6	7	9
MEDAG	7	9	8	6	4
TSC22D1	7	5	3	6	4
CLN5	4	3	9	8	6
MGRN1	9	3	9	8	9
TRADD	8	3	9	8	6
CORO1A	9	7	6	6	2
LYRM1	9	7	9	8	7
NUTF2	9	7	6	7	9
CENPT	9	7	9	7	7
NFAT5	7	1	6	6	7
N4BP1	8	3	4	1	2
ARL2BP	7	2	2	4	4
PLLP	7	3	9	4	7
USB1	4	4	5	4	6
CYB5B	7	5	5	4	4
NME3	7	1	2	4	4
NDRG4	7	9	2	8	5
SLC38A7	6	6	6	7	9
VAC14	9	9	6	6	9
SLC7A6OS	4	3	4	6	6
PLA2G15	9	9	3	8	7
WDR59	9	7	6	7	9
HCFC1R1	7	9	3	6	4
NPRL3	7	1	3	4	7
COTL1	4	1	5	9	7
CRISPLD2	9	6	9	7	9
ZNF500	6	6	6	7	9
NME4	7	1	3	5	4
ABCC1	7	1	9	6	7
NOMO3	9	1	9	6	6
CLCN7	9	7	4	6	9
METRN	9	9	6	6	9
GSPT1	7	4	5	4	7
ELOB	9	9	9	6	9
CPPED1	8	2	2	8	6
DNAJA3	7	4	5	4	6
QPRT	9	7	6	7	7
XYLT1	9	3	6	6	2
PYCARD	9	9	9	8	6
MAZ	7	9	3	5	4
STX4	8	3	9	8	7
BCKDK	9	9	4	4	7
LACTB	8	3	6	8	2
MTFMT	9	7	4	6	9
RAB11A	7	5	3	4	4
CTSH	8	7	4	1	2
HOMER2	6	7	6	7	9
EHD4	7	2	5	4	7
BMF	9	3	9	8	7
DMXL2	9	7	4	7	9
EIF3J	4	4	9	4	9
OIP5	5	8	4	4	4
SLC30A4	9	7	1	7	9
PDGFRL	7	1	2	6	4
ZDHHC2	9	3	1	8	2
BRF2	3	1	8	6	2
TRIM35	9	3	1	8	9
FZD3	6	6	1	7	9
RIPK2	8	3	4	9	8
EYA1	6	7	1	7	9
NBN	8	3	3	8	6
BPNT2	4	1	3	4	6
SFRP1	7	7	6	4	4
LAPTM4B	7	4	3	4	4
UBE2W	6	7	1	7	9
NIPAL2	9	3	6	6	9
PLAT	5	4	5	5	4
EIF3E	7	5	8	4	7
EMC2	4	4	4	6	6
NDRG1	4	4	5	5	2
CHRAC1	7	1	3	4	4
NCALD	6	6	1	7	9
UBR5	7	4	9	4	7
GSDMD	8	7	6	8	7
GFUS	9	9	9	6	9
EEF1D	7	9	9	4	7
ERI1	4	4	3	4	4
GSR	7	1	3	4	7
TUSC3	3	3	8	8	2
ARHGEF10	6	6	6	7	9
MCM4	7	1	5	5	4
ASAH1	4	7	4	6	6
BNIP3L	7	5	3	6	4
MAN2B1	9	3	6	8	2
NUCB1	9	9	9	8	9
GYS1	4	2	5	4	6
ECH1	9	9	1	7	7
HNRNPL	9	7	4	7	7
NFKBIB	8	3	4	8	2
TUBB4A	4	4	3	4	6
CLPTM1	9	9	9	7	9
RELB	8	2	2	9	8
FCGRT	7	9	2	4	5
PPP1R13L	9	3	8	5	2
RNASEH2A	5	8	3	5	4
LYL1	3	9	9	6	2
OAZ1	7	1	3	4	7
IL4I1	8	3	6	1	1
PTOV1	9	9	9	8	9
NOVA2	9	9	6	6	9
IL27RA	8	3	6	1	2
ASF1B	5	8	5	5	5
VRK3	6	6	6	7	9
PPP6R1	9	7	4	6	7
RASAL3	3	7	8	6	2
ILVBL	7	9	9	4	7
SYDE1	9	3	9	6	2
SLC1A6	9	9	6	7	9
PDCD5	4	4	2	8	6
RPS16	7	1	6	5	4
FBL	7	1	3	5	4
GPI	7	1	5	4	7
PLD3	6	6	1	6	9
PIAS4	9	7	6	8	9
EBI3	8	2	2	9	8
CLIP3	9	9	9	8	9
SLC1A5	4	4	8	4	2
PRKD2	9	9	2	8	9
APLP1	3	1	8	6	2
HNRNPUL1	7	5	3	5	4
BBC3	7	1	3	4	7
TGFB1	3	7	8	6	9
DENND3	4	1	3	8	7
RPS19	9	9	9	6	9
NOP53	9	9	9	4	7
ETFB	7	9	3	5	4
BABAM1	9	7	3	6	7
TYK2	8	3	3	9	7
NAPA	9	9	6	8	2
RABAC1	9	9	6	7	9
GRWD1	7	4	9	4	7
GRIN2D	9	3	9	6	2
CLEC11A	7	9	9	5	4
LIG1	7	1	4	6	4
ZNF175	7	1	5	6	6
PLA2G4C	6	6	1	1	9
RASIP1	7	9	2	4	4
BCAT2	7	1	5	4	4
MIER2	9	7	6	7	9
DNASE2	9	9	6	8	2
JAK3	8	3	6	1	2
RPL18A	7	1	9	4	7
COPE	6	6	1	7	9
TMEM147	4	1	3	4	7
KXD1	9	7	6	7	9
FKBP8	6	6	1	7	9
SCN1B	7	9	5	4	4
ERF	9	7	8	7	9
SMG9	9	9	9	6	7
RASA4	6	6	6	7	9
CDK6	8	2	6	8	2
TFPI2	8	8	8	8	2
NAMPT	4	4	2	9	4
POLR1F	7	1	9	4	7
DNAH11	7	5	5	6	4
MTPN	4	4	3	6	7
STEAP1B	5	5	5	4	4
ZC3HAV1	9	7	6	8	7
H2AZ2	9	7	8	7	6
CAV2	5	4	4	4	5
CAV1	5	5	2	5	5
LMBR1	4	1	3	6	7
DNAJB6	9	3	4	6	7
LFNG	3	7	8	6	2
HOXA5	7	1	4	6	4
BRAT1	9	9	9	6	7
VIPR2	9	7	4	6	9
SSBP1	4	4	4	6	6
HIBADH	7	1	9	8	4
GRB10	8	2	6	8	2
GARS1	9	3	8	8	2
CHCHD2	4	4	4	7	6
HSPB1	9	9	9	6	9
PDAP1	9	3	4	6	7
BUD31	9	3	3	8	2
ZKSCAN1	9	7	6	7	9
WASL	7	1	9	6	4
HYAL4	9	7	6	7	9
AGFG2	7	7	3	6	4
LSM5	9	7	4	6	7
SERPINE1	8	2	6	8	2
EZH2	7	4	3	5	4
CEP41	6	6	1	7	9
MEST	5	5	5	5	5
TSPAN13	4	4	8	6	2
CHCHD3	4	4	3	4	6
GIMAP2	4	1	4	8	4
PSMA2	4	4	9	8	6
MRPL32	4	4	9	4	6
RHEB	4	8	4	4	6
AEBP1	3	3	8	6	1
POLD2	7	1	5	5	4
BCL7B	7	1	5	4	6
YKT6	9	3	4	6	9
EIF4H	4	4	3	4	6
LIMK1	9	7	6	6	9
SLC1A1	7	5	3	6	4
CNTNAP3	7	5	9	5	4
SPIN1	4	4	3	6	6
TMEM245	9	9	6	6	9
PRUNE2	7	1	9	4	4
MEGF9	7	1	3	6	4
TRIM14	8	3	2	1	2
TGFBR1	3	3	8	6	1
SEC61B	4	4	4	4	6
TLE4	9	3	6	8	6
PTGR1	7	5	3	4	4
AKNA	9	7	6	7	9
DNM1	9	7	8	6	9
ENG	7	1	9	5	9
KANK1	9	7	4	6	9
FUBP3	4	4	3	4	6
CREB3	8	4	3	8	2
DDX58	1	3	4	3	1
EDF1	9	9	9	8	9
GLIS3	3	3	6	8	2
RAPGEF1	4	2	3	8	4
NPDC1	7	9	9	4	4
PTGDS	9	9	9	6	7
UBE2R2	7	5	3	4	7
EXOSC3	4	4	4	4	6
PDLIM1	7	1	2	8	4
GATA3	7	1	5	6	4
HPS1	9	9	4	8	7
DNMBP	4	4	3	6	7
ERLIN1	7	4	5	4	4
EIF3A	4	4	3	4	7
CUBN	9	3	9	6	2
NSMCE4A	4	4	3	8	4
UNC5B	3	3	8	6	1
CCSER2	4	4	6	8	6
BMPR1A	9	7	6	6	9
LIPA	8	4	4	8	6
FGF8	6	6	1	7	9
NPM3	7	1	9	5	7
TNKS2	9	1	1	8	9
ANKRD26	7	1	9	6	7
BCCIP	4	4	4	4	6
MTPAP	9	7	6	7	9
STN1	7	1	3	4	4
DKK1	3	3	1	1	6
EBF3	7	5	3	6	4
SMC3	4	4	4	4	4
TFAM	7	4	5	4	7
CCNY	7	5	3	4	6
UBE2S	5	8	5	5	4
RPL28	9	9	9	6	7
ZMIZ1	7	1	3	6	4
PPIF	4	4	5	9	7
TSPAN14	9	9	8	6	9
FBXL20	6	7	6	7	9
PSMD3	7	1	9	4	7
ASPA	9	7	1	7	7
TRIM37	8	3	6	8	6
TUBD1	9	7	6	7	7
KPNB1	7	1	5	4	7
PNPO	7	1	3	6	7
TRIM16L	3	3	6	8	1
CBX1	4	8	3	6	6
PFN1	4	4	9	4	6
RNF167	7	1	3	4	6
RAI1	4	1	3	4	7
NUP88	4	4	5	6	7
C1QBP	5	4	5	4	6
SLC6A4	9	7	6	7	7
BLMH	7	1	9	6	7
CPD	7	1	3	4	4
CCDC47	4	4	4	4	6
SMARCD2	7	1	3	4	7
ICAM2	5	9	2	4	5
SYNGR2	8	3	2	8	2
DDX5	4	3	3	6	6
PSMD11	4	1	9	4	7
LGALS3BP	1	7	9	3	3
CCL2	2	2	2	2	3
DHX58	8	3	4	1	2
MLX	7	1	9	4	6
CNTNAP1	8	3	2	1	6
ABI3	5	8	5	5	5
COL1A1	3	1	7	7	3
VAT1	9	9	1	8	7
LRRC59	4	4	3	4	6
RND2	9	7	9	7	9
SMURF2	4	2	3	4	7
PRKAR1A	4	4	3	6	4
YWHAE	7	4	9	4	7
MMD	4	4	3	4	7
DHRS7B	9	1	9	8	6
WSB1	7	9	2	7	4
TMEM104	9	1	3	6	9
TNFAIP1	8	2	3	9	8
TMEM97	7	4	5	5	4
CDR2L	4	4	8	6	2
PMP22	4	2	9	4	6
SUPT6H	9	7	6	6	9
RAB34	9	6	8	6	9
TMEM33	4	4	3	4	6
SLAIN2	4	3	3	8	6
OCIAD1	4	4	9	6	6
SULT1E1	7	5	3	5	4
NFKB1	8	3	2	9	8
UBE2D3	4	4	3	4	6
INPP4B	3	1	8	5	6
WFS1	7	9	3	5	4
GRPEL1	4	4	3	4	6
FRG1	7	1	9	6	7
CLCN3	4	4	3	6	4
GALNT7	3	4	8	6	2
DHX15	4	4	4	4	6
NSD2	5	8	5	4	4
SH3D19	7	1	4	4	4
GLRB	9	7	8	7	2
BST1	8	3	6	1	2
UFSP2	7	5	9	4	6
KLF3	7	4	9	4	7
KLHL5	8	3	2	8	7
FAM149A	6	6	1	7	7
NCAPG	5	8	5	5	5
UGDH	3	3	6	6	2
CRYAB	5	5	5	4	4
HTATIP2	8	1	4	8	6
CTSC	7	5	5	5	4
CCDC34	4	8	6	4	7
ELP4	7	1	9	6	6
MTCH2	9	7	3	8	4
SC5D	4	3	4	8	2
HSPA8	4	4	3	4	6
DNAJC4	9	9	6	6	7
SIAE	7	1	3	6	4
LPXN	4	4	3	8	2
EHD1	8	1	3	9	8
OSBP	4	4	9	4	7
UNC93B1	9	3	6	8	2
CPT1A	7	5	3	6	5
CCDC86	7	4	5	4	4
TMEM109	4	4	2	4	4
TRIM3	9	1	3	8	7
ANAPC15	9	1	9	6	7
PANX1	8	2	2	8	8
ARHGEF17	7	1	9	6	4
CEP126	9	1	9	6	9
EIF4G2	4	4	4	4	6
BIRC2	8	3	4	8	2
NECTIN1	7	1	5	4	4
FBXO3	4	1	9	6	6
SLC1A2	9	9	6	6	7
SLC15A3	1	3	6	3	1
SCGB2A2	6	7	1	7	2
MDK	8	9	3	1	6
CD81	9	3	6	8	2
PITPNM1	9	3	6	6	9
AIP	9	6	6	7	9
NUP98	4	4	3	4	7
NDUFS8	9	9	9	6	7
GTF2H1	4	4	9	4	6
VWF	7	9	9	5	5
P3H3	6	6	8	7	2
PPFIBP1	7	1	6	8	4
CD69	8	3	6	1	8
CLEC2B	7	1	2	8	4
MLEC	4	4	9	4	9
CSRNP2	4	4	3	4	6
CAMKK2	7	1	2	9	7
ATP5F1B	7	4	5	4	6
PTGES3	4	4	3	4	6
KRT18	7	9	8	5	4
TNS2	7	1	3	6	4
PPM1H	9	7	6	6	2
LTA4H	7	5	3	4	4
ELK3	4	4	3	5	6
MAGOHB	4	4	6	8	6
FOXM1	5	8	5	5	4
ARPC3	4	4	4	8	6
GPN3	4	4	3	4	6
VPS29	4	4	4	8	6
RAD51AP1	5	8	5	4	4
SH2B3	4	4	5	4	6
MANSC1	9	7	6	6	7
ALDH2	7	1	3	8	4
CDK2AP1	4	4	3	6	6
OAS3	1	3	4	3	3
OAS2	1	9	2	3	3
ART4	8	2	4	8	2
MGP	5	5	9	5	5
ARHGDIB	7	5	3	5	4
GTF2H3	9	7	3	8	7
SLC38A1	4	4	8	6	6
VDR	9	3	6	7	9
RFC5	4	4	4	6	9
STX2	4	4	9	8	9
MDM1	4	4	3	6	6
CNOT2	6	7	6	7	9
CPSF6	4	4	3	4	6
KRR1	3	3	1	6	2
GAPDH	7	1	5	5	4
CHD4	7	1	9	4	7
CDCA3	5	8	5	5	4
TPI1	7	4	3	5	4
GNPTAB	9	1	6	8	2
C12orf57	9	9	8	6	6
GOLT1B	4	4	8	8	2
LDHB	4	4	3	5	4
CMAS	4	4	4	8	6
HCFC2	7	1	9	6	4
ST8SIA1	9	7	6	7	9
C2CD5	4	5	3	6	6
RIC8B	9	7	4	7	9
SRSF9	4	5	3	4	7
BTN3A3	8	1	4	1	2
TDP2	4	4	9	4	6
DSE	3	3	8	4	2
NEDD9	8	2	9	4	2
ASF1A	4	4	4	6	6
HINT3	9	1	9	8	9
NCOA7	8	3	2	1	8
RIPOR2	9	7	6	7	9
SASH1	7	1	9	6	4
FBXO5	7	5	3	6	7
FANCE	7	5	3	4	4
STK38	9	3	9	7	9
SOD2	8	3	5	9	8
MRPL18	4	4	4	4	6
MCM3	5	5	5	5	4
PHACTR1	6	6	1	7	9
FBXO9	4	4	4	4	6
MDN1	7	5	5	5	7
BACH2	9	7	1	7	9
ZNF451	9	7	6	6	9
BAG2	4	3	8	6	2
WASF1	4	4	4	6	6
GPLD1	6	6	6	7	9
ACOT13	9	7	6	8	9
RPS12	7	1	9	4	4
C6orf62	8	3	4	8	2
B3GAT2	6	6	1	7	9
GMNN	5	8	5	5	4
SOBP	9	7	8	5	9
SNX3	4	4	4	4	6
TRIM38	9	3	1	7	2
PERP	4	4	3	8	4
ADGRG6	7	5	8	6	4
PHACTR2	7	5	9	6	7
TAPBP	8	3	6	1	2
CUTA	9	9	9	6	7
MDFI	3	1	8	5	2
CCND3	4	1	4	6	6
PTK7	9	7	4	7	9
SRF	4	2	8	5	2
DNPH1	9	3	9	8	2
COX7A2	9	3	8	6	6
SENP6	4	4	9	6	7
VEGFA	4	2	5	4	1
TTK	5	8	3	5	4
SLC29A1	7	5	8	5	6
BTN2A1	8	4	4	8	2
LAMA4	4	1	9	6	6
TENT5A	8	2	9	8	2
MAN2A1	7	1	2	8	7
SEMA5A	9	7	6	8	7
GHR	9	7	1	6	9
HMGCS1	8	3	2	8	7
DAP	4	4	5	4	6
BRD8	4	8	4	8	6
KIF20A	5	8	3	5	5
NNT	7	1	9	6	7
HSPA9	4	4	9	4	6
PFDN1	4	3	4	8	6
HBEGF	3	3	7	8	2
LOX	4	2	3	4	6
SPARC	4	4	8	4	2
CERT1	9	3	6	8	2
FAF2	4	1	9	4	7
ITK	9	7	6	7	7
RNF130	4	1	9	4	6
CLINT1	4	4	3	6	7
CNOT6	9	3	8	6	6
CCNG1	7	4	4	4	4
POLR3G	9	3	9	6	2
DROSHA	4	1	9	6	6
CDH6	6	6	1	7	9
LMNB1	7	5	9	4	4
ARRDC3	7	4	3	6	4
GOLPH3	4	3	3	8	6
SUB1	9	3	8	7	2
TARS1	4	2	4	4	6
SLC12A7	8	3	2	9	7
GNPDA1	4	1	3	8	6
SKP1	4	4	3	6	6
PPP2CA	4	4	4	4	6
NR3C1	4	3	9	8	6
C5orf15	8	2	6	8	2
PPWD1	4	1	3	6	6
LIFR	7	5	3	4	4
TXNDC15	4	4	9	8	6
RARS1	4	4	4	6	6
WWC1	9	7	6	6	9
MACROH2A1	4	4	3	4	4
TCERG1	4	4	9	4	7
DPYSL3	3	3	8	7	1
CSNK1A1	4	5	3	4	6
ERGIC1	7	1	3	4	4
ATP6V0E1	4	1	3	4	6
STC2	3	4	8	8	2
HRH2	9	7	1	7	7
DBN1	9	9	3	4	7
SMC4	5	8	5	4	5
SELENOK	4	4	3	8	2
TIMMDC1	9	3	6	8	6
AMOTL2	7	5	3	4	9
UBE3A	4	4	6	6	6
ARMC8	7	1	9	6	7
RNF7	4	4	4	4	6
TFDP2	9	7	6	7	9
XRN1	8	3	6	8	7
PDCD10	4	4	3	8	6
FGF12	6	6	1	7	9
HES1	7	5	8	5	6
GNAI2	9	9	6	8	7
TUSC2	7	4	3	4	7
NPRL2	9	7	6	8	2
RPL24	7	1	6	5	7
FXR1	7	1	9	4	7
GBE1	7	4	2	8	4
SLC41A3	4	1	4	4	4
ATP6V1A	8	4	4	8	1
CSPG5	3	3	8	6	1
PLSCR4	3	9	8	6	2
ACVR2B	6	6	1	7	9
WDR48	8	3	2	8	7
PEX5L	9	7	6	7	9
ARHGEF26	9	7	6	7	9
SSR3	4	4	9	5	6
FOXP1	6	6	1	6	9
EIF4G1	4	4	3	4	7
SPCS1	4	4	3	4	6
INO80D	9	7	6	8	9
EEF1B2	4	4	3	5	4
MOB1A	4	4	3	6	6
RTKN	3	3	8	6	2
IL1A	8	3	4	1	1
CCL20	2	2	2	2	8
NCL	5	4	5	5	7
ACTR3	4	2	4	8	2
EPB41L5	7	1	3	6	4
SF3B6	4	4	3	4	4
GPD2	4	1	3	8	6
CENPA	5	8	3	4	4
TANC1	7	4	2	8	4
SLC30A3	7	9	3	4	5
MPV17	4	4	3	4	6
NRBP1	9	3	9	8	9
FNDC4	7	1	2	4	5
ITGA4	3	3	7	7	1
PSMD14	4	4	3	4	6
ASB3	6	6	6	7	7
IFIH1	1	3	4	3	1
RPS15	6	9	6	7	9
GCA	9	1	9	8	6
INO80B	9	7	6	7	9
MOGS	9	1	6	8	6
NDUFS7	9	9	6	7	9
GRB14	5	5	5	4	4
SPTBN1	9	1	9	8	7
RTN4	8	1	2	8	7
CCDC88A	4	8	9	6	7
MRPL19	4	4	3	4	6
WDR75	4	4	3	4	6
EFEMP1	4	1	8	6	4
FN1	3	7	7	1	1
STAT1	1	9	4	3	1
IGFBP2	7	1	2	4	4
ELMOD3	9	7	4	6	7
IGFBP5	3	9	7	5	1
USP34	4	1	6	6	7
CCT4	4	4	3	4	6
TXNDC9	4	4	3	4	6
SF3B1	4	4	3	6	6
ST3GAL5	3	1	8	6	6
PDCL3	4	4	3	4	6
HSPE1	4	4	3	6	6
CHMP3	6	9	1	7	9
IL1RL1	5	2	2	9	5
IL18R1	8	1	4	9	8
FHL2	7	9	8	5	6
CNPPD1	7	1	3	4	7
UXS1	8	3	4	8	6
STK25	7	1	3	4	7
ID2	7	5	9	8	4
HPCAL1	5	5	5	4	5
ODC1	5	4	5	5	4
BIRC6	4	4	9	8	9
NOL10	4	4	4	4	7
GORASP2	4	4	3	4	6
STRN	4	1	9	6	7
QPCT	4	2	2	6	6
SLC25A12	4	4	3	8	6
DARS1	7	1	2	4	7
SRSF7	4	4	3	4	6
ORC2	9	7	4	7	9
RND3	4	1	4	8	6
TRAK2	7	1	9	6	7
EPAS1	7	5	3	5	5
MSH6	9	9	8	6	9
PLEKHA3	6	6	1	7	9
FARSB	7	5	3	4	4
DHCR24	5	5	5	4	4
CACYBP	4	8	4	6	4
SCP2	4	4	4	6	6
RALGPS2	7	5	9	6	7
CEP104	9	7	6	6	7
TMEM59	9	1	6	6	6
MRPL37	7	1	3	4	7
ICMT	4	1	3	6	7
STXBP3	6	7	1	7	9
ERRFI1	7	5	5	4	4
PARK7	4	4	4	4	6
OPRD1	9	7	9	7	2
KCNC4	7	5	3	4	4
WDR77	4	1	3	4	6
RAP1A	4	4	4	4	4
RNF19B	4	3	2	9	7
TRIM62	3	1	8	6	2
SFPQ	4	4	3	4	7
GON4L	9	7	6	6	9
ARHGEF2	7	1	5	4	4
MEF2D	7	4	9	6	7
SRM	9	1	9	4	9
C1orf21	7	5	3	4	4
MAD2L2	7	1	3	4	4
LEPR	6	7	6	7	9
IVNS1ABP	4	4	3	4	6
PRG4	4	4	3	6	6
GADD45A	8	2	4	1	2
WLS	4	4	3	4	6
RO60	9	7	1	6	9
UCHL5	4	4	3	4	6
CRYZ	4	4	3	8	6
NR5A2	7	5	5	4	4
ADPRS	4	4	4	8	6
GNPAT	4	4	3	6	7
RRAGC	4	1	2	8	7
NID1	7	1	9	6	4
MTR	4	1	9	6	7
ZNF684	9	7	6	7	2
ETV3	4	4	9	4	6
ACADM	4	1	9	6	6
ADGRL2	4	4	8	6	6
SDHB	4	4	3	4	6
MFAP2	9	3	8	6	9
RGS4	5	5	4	4	5
SSX2IP	4	4	4	4	7
RBBP5	9	7	9	8	9
GBP3	8	3	3	1	8
GBP1	1	2	6	1	1
RAB29	8	7	6	8	9
ECE1	9	3	2	8	2
ID3	4	5	4	4	6
APH1A	7	5	3	4	7
SLC2A1	3	1	7	6	2
EBNA1BP2	4	4	9	5	6
CDC20	5	8	5	5	5
ERI3	9	3	9	6	6
AKR1A1	4	3	4	8	6
PRDX1	4	4	3	4	6
BLZF1	4	4	9	8	2
SLC19A2	4	4	9	6	9
NSUN4	9	7	9	8	9
TMED5	4	4	3	6	6
DR1	4	3	4	6	6
CNN3	8	3	4	8	2
ABCD3	7	4	9	6	7
DPH5	7	5	8	6	4
TNFSF4	4	2	2	9	7
PRDX6	7	1	2	4	6
DARS2	4	4	5	4	7
IRF6	9	9	1	8	6
STMN1	7	8	4	4	4
MAN1C1	9	9	6	6	7
NEK2	5	8	5	5	4
CENPF	5	8	5	5	5
RPA2	4	4	4	4	4
STX12	4	2	3	4	6
MTARC2	7	5	3	6	4
TXNDC12	4	4	4	6	6
ESYT2	7	5	3	4	4
POLR1G	4	3	9	5	9
STAG1	7	1	9	6	7
KMT2A	9	1	6	8	7
KIF14	5	8	5	5	4
NRP2	4	4	3	5	2
KLF7	4	2	9	9	2
CA14	9	7	8	7	9
SPCS2	4	4	3	6	6
USP35	3	1	8	6	2
FILIP1	6	6	1	7	9
CASP8AP2	4	4	9	6	6
CNR1	7	9	3	6	5
SGIP1	9	9	6	7	7
PLAGL1	4	1	3	6	6
FBXO30	4	4	3	4	7
TNFAIP3	2	3	2	2	8
RAB32	8	3	4	8	6
CCN2	3	2	8	6	2
SLC16A7	4	1	9	6	7
VAMP8	9	9	6	8	6
DCLRE1B	4	1	4	4	4
RPN2	4	1	9	4	6
PKD2	4	4	3	6	6
ABCG2	7	5	3	4	4
CCNI	9	9	8	6	9
MFSD1	4	1	4	8	6
UBN1	7	1	6	6	7
PCDH17	9	7	6	7	7
CCND2	3	9	8	8	1
FGF23	6	7	6	7	9
ELL2	9	3	1	6	2
CYP20A1	9	7	6	7	9
KLF9	4	1	3	9	6
TJP2	7	4	2	9	4
ITGB1BP1	4	4	3	4	4
PIGZ	7	1	3	4	4
SENP5	6	6	1	7	9
CCDC92	4	3	4	8	6
RAD23B	4	4	3	4	6
CTNNAL1	7	5	5	4	4
ABITRAM	4	4	3	8	6
PTPA	6	6	6	7	9
GLE1	7	4	9	4	4
RAB14	4	4	3	4	7
CNTRL	7	1	6	6	7
TRIM32	4	4	3	6	2
FBXW2	4	1	9	6	4
PHF19	5	8	5	5	5
NEK6	4	1	8	5	9
HDHD3	6	6	1	7	9
HSDL2	7	1	3	6	4
ALG2	4	4	3	4	6
KDSR	9	3	9	6	2
YLPM1	7	1	9	6	7
FCF1	9	7	6	7	9
PGF	3	9	8	6	2
IFI27L2	9	9	9	6	9
NEK9	9	7	4	7	9
IRF2BPL	6	6	1	7	9
LTBP2	7	9	8	5	4
FLVCR2	7	5	3	4	4
SLIRP	4	4	9	4	6
GPR68	8	2	6	8	2
ESRRB	6	6	1	7	9
EIF2B2	7	1	5	4	4
ZNF410	4	1	9	4	6
DNMT3A	6	6	1	7	9
YPEL5	8	3	6	8	2
YIPF4	9	7	1	7	9
AFTPH	9	9	1	8	9
LGALSL	4	3	9	4	9
CNRIP1	3	3	8	6	2
BCL11A	6	6	6	7	9
CRIPT	6	6	1	7	9
OGFRL1	4	1	3	4	4
SLF2	4	1	3	6	4
IFIT3	1	3	6	3	3
IFIT2	8	1	4	1	2
CUTC	4	5	4	4	7
PPP1R3C	7	5	8	6	4
HELLS	7	1	9	6	4
GNA13	4	3	6	8	6
HOXB8	7	9	9	6	4
DUSP1	7	9	8	6	6
TEK	4	4	4	8	4
RCL1	7	1	3	4	7
CD274	8	1	1	8	2
CCDC170	6	6	1	7	9
PCMT1	4	4	3	4	6
MYCT1	4	4	8	6	6
CYSTM1	8	1	4	8	6
ARAP3	7	1	3	6	6
TNFSF18	8	3	2	1	2
TCP1	4	4	3	4	6
SNX19	4	4	9	4	6
PDZD11	9	7	6	7	6
ENY2	4	4	3	8	6
KIAA1217	8	3	6	7	2
ENOX1	9	7	6	7	6
UFM1	8	3	3	8	2
HSPH1	4	4	9	6	6
EXOSC8	4	8	3	4	4
TGFBI	3	3	7	6	3
SIL1	9	1	9	6	2
EGR1	9	9	8	4	7
SERP1	4	4	8	6	2
TMPO	4	8	3	5	6
GLT8D2	3	7	8	8	2
SOCS2	6	6	1	7	9
WASHC3	9	7	4	8	6
DUSP4	3	8	8	6	6
CLU	7	9	9	6	5
TNFRSF10B	8	3	4	8	2
PTK2B	7	5	5	4	4
NPPB	3	3	7	7	3
TARDBP	4	4	4	6	6
LYPLA1	4	4	3	6	6
COPS5	4	1	3	6	6
RDH10	8	1	9	1	6
TRIM25	8	1	2	1	6
NCAPH	5	8	4	5	4
LRAT	9	7	6	7	9
MND1	5	8	3	5	4
BCL2L14	9	3	9	7	9
PSPC1	4	4	3	4	7
RGSL1	9	7	1	8	2
NAA50	4	2	3	4	2
KIF18A	4	8	6	6	4
KHDRBS1	4	4	3	4	7
CCRL2	4	5	4	4	4
POLR3GL	7	1	3	6	4
TNFSF10	8	9	4	1	6
PDS5A	4	4	3	6	6
TMEM156	7	1	5	8	4
TMEM54	9	1	3	4	9
CXCR4	3	7	8	6	9
ACVR2A	6	6	1	7	9
RPL21	9	9	6	7	7
UBL3	3	1	8	8	2
OCRL	4	1	9	6	6
MRPS2	7	1	5	4	4
MYOG	9	7	6	7	9
KIAA1191	7	1	9	4	6
COPA	4	1	3	4	6
SERAC1	3	3	8	7	2
ANXA11	7	1	2	4	4
LDB3	9	7	6	7	9
PRXL2A	7	5	5	5	4
ZNF205	9	9	6	7	9
RPL5	7	4	9	5	4
CCDC18	7	4	9	6	7
SEPTIN7	4	4	9	4	6
