symbol	all	control	tgf	tnf	mix
MSR1	6	7	6	7	9
MTREX	4	4	3	4	6
ZFYVE16	9	7	6	7	2
RIPOR1	8	1	2	9	6
RAI14	4	2	4	8	7
SPDL1	4	4	3	4	7
PHF23	4	4	4	4	6
THAP3	9	9	3	4	7
TDP1	4	1	3	6	7
CAPG	9	3	4	6	7
AP2S1	6	6	6	7	7
JADE2	4	1	3	8	6
ADRB1	9	5	6	7	6
CUL7	9	9	4	8	9
CTNNA1	4	4	3	4	6
HSPA5	4	2	4	8	6
GPM6B	6	6	1	7	9
PREX2	4	4	3	6	2
YTHDC2	4	4	6	6	6
ATP6V1H	4	4	3	6	6
POLR2B	3	7	7	8	1
FAM214A	9	1	3	6	6
TPR	4	4	9	8	9
C12orf4	4	4	9	6	6
SCML1	4	1	3	6	6
WWC3	9	9	6	8	7
FAM184B	6	6	1	7	9
MAP4	4	4	9	8	7
GOPC	3	1	8	6	2
USP28	6	6	6	7	9
HDAC9	9	3	6	8	7
RRM2B	4	4	4	8	6
LMO3	6	6	6	7	9
MRPS10	4	1	3	4	6
CELF2	7	1	9	8	4
FAM120A	7	5	9	4	7
R3HDM1	7	1	9	6	7
VAMP3	9	3	6	8	7
TNFRSF9	8	3	6	1	9
LTBP1	7	7	6	6	4
RCN1	7	1	2	4	4
ELN	3	1	7	6	2
RFC2	7	1	5	4	4
CLPTM1L	4	1	3	4	7
NEDD4L	9	7	6	8	9
HEXB	4	4	3	6	6
JKAMP	4	4	8	6	6
DKK3	4	4	8	8	6
NFE2L3	8	1	3	8	6
LIMA1	4	1	8	6	6
TNIP3	6	7	6	7	9
MAPK9	4	4	5	4	7
BCAR1	7	5	5	4	4
HERPUD1	3	1	8	8	2
HOMER3	9	9	1	6	9
RAD51	5	8	5	4	4
CYBA	9	7	6	7	2
THOC3	4	4	3	4	6
HEBP2	7	1	3	8	4
MSMO1	9	1	4	8	9
TTC17	9	7	1	7	9
FOXN3	9	9	8	6	9
NNAT	7	1	2	5	5
LAMA3	4	1	2	8	6
PHPT1	9	9	9	6	9
OPN3	9	9	4	6	6
SDCCAG8	9	7	4	7	9
HHAT	3	3	8	6	2
FOXC1	7	1	5	6	7
TBC1D22A	9	9	9	6	9
SYNE2	7	5	6	6	4
ATP9A	7	1	9	6	7
NOP58	5	4	5	4	7
CUL1	4	4	3	4	6
CYFIP2	9	9	6	8	9
TAB2	4	4	4	8	6
EIF2AK2	8	3	4	1	1
USP36	7	1	9	4	7
MCOLN3	6	7	6	7	9
ZFR	4	4	9	4	4
TRAF1	2	3	2	2	8
TRAF3IP2	7	5	9	4	7
DCBLD2	8	2	2	1	7
SOAT1	6	6	1	7	9
PKP2	9	7	6	6	9
GDI2	4	1	9	4	6
PRDM1	9	6	9	7	9
TMCC3	7	5	4	6	4
PITHD1	7	1	5	4	4
ATP11B	3	1	8	6	2
LAMC2	1	2	2	3	1
CDK14	3	3	8	6	2
SEC61A1	9	9	6	7	9
PPP1R12A	4	1	9	6	6
ATP2B4	7	5	3	4	5
NDC1	4	8	3	4	6
FLYWCH1	9	9	6	7	9
PARP12	8	3	5	8	7
YBX3	7	4	5	4	4
STYK1	7	1	2	4	4
CCAR1	4	4	4	8	9
OGFR	8	3	9	8	2
SNRNP40	7	1	3	4	7
MPC1	9	4	1	7	6
BCAT1	3	4	8	5	2
MRPS35	4	4	3	4	6
SFSWAP	7	1	9	6	7
TNK2	9	7	9	6	9
CS	4	4	3	4	6
WAPL	4	4	4	4	7
VMP1	4	3	9	6	7
SEZ6	6	6	1	8	9
EIF4B	7	5	3	5	4
RPL18	9	9	9	5	7
EPN1	7	9	9	6	7
GPC1	7	1	5	5	4
LIMCH1	7	5	3	5	5
INTS13	7	4	9	4	6
TM7SF3	4	4	4	8	6
CCN5	9	7	9	6	7
ST3GAL6	9	9	6	8	7
TAF2	4	4	4	4	6
HIPK2	7	4	4	4	7
CTSA	9	9	6	8	9
SLC12A2	8	1	2	8	7
CNN2	3	9	8	5	2
DDX20	4	1	4	4	6
SBNO2	9	3	6	8	6
HMG20B	7	9	3	4	7
CALCRL	7	5	3	6	5
SLC9A3R2	9	9	3	5	7
IPO5	7	1	5	5	7
TRAM2	7	1	3	5	4
MCM10	7	1	3	4	7
ERBB3	6	6	1	7	9
KARS1	4	4	3	4	6
PDIA5	4	2	4	4	6
NDUFB4	9	3	4	6	6
SPEN	4	4	9	4	7
MYLK	3	3	1	8	2
ZC3H15	4	4	9	4	7
MAP2K4	4	3	9	6	6
SLK	5	5	3	4	4
GSTO2	9	7	6	7	9
FAM107B	5	4	2	4	5
ME1	4	2	3	8	6
YBX1	5	5	3	4	4
TIE1	9	9	8	6	7
ASPM	5	8	5	5	5
CD84	9	7	6	7	2
ATXN3	9	7	6	7	9
FGFR2	9	7	6	7	2
